Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Parcours dans les vignes du Clos de Caveau,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.152015999999996,4.994268,1560 chemin de caveau Clos de Caveau,84190#Vacqueyras,,True,True,Office de tourisme  Ventoux Provence Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-03-30,#+33 4 90 65 85 33#domaine@closdecaveau.com#http://www.closdecaveau.com/,,Explorer les trésors du domaine Clos de Caveau au cœur du massif protégé des Dentelles de Montmirail. Vous explorerez en chemin les richesses de ce terroir magnifique qui produit des crus exceptionnels ! Parcours : 1.6 km.,https://data.datatourisme.gouv.fr/13/ba48893c-3452-3c03-bb5a-66fe8752aac5
Section A. M. S. L. Fréjus Cyclotourisme,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.436370000000004,6.742575,Salle Sainte-Croix – Rue des Marsouins,83600#Fréjus,,True,False,Office de tourisme de Fréjus,Apidae Tourisme Scic SA - source : Apidae Tourisme,2019-07-01,#+33 4 94 40 43 23<>+33 4 94 51 55 39<>+33 4 94 51 65 12<>+33 6 68 84 73 94<>+33 6 73 91 75 77#myal83@wanandoo.fr#http://www.amslfrejus.com/,,"Sorties tous les dimanches, mardis et jeudis matins.
Sorties tous les samedis pour les féminine accompagnées d’un moniteur fédéral.",https://data.datatourisme.gouv.fr/13/4686a802-4835-3091-bf55-e8530f06d700
Sentier des Marmottes,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.671646,6.619446000000001,Sentier des marmottes Eygliers Gare,05600#Eygliers,,True,True,Office de tourisme du Guillestrois et du Queyras,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-03-12,#+33 4 92 24 77 61#guillestre@guillestroisqueyras.com#,,"Chez nous, les marmottes vivent en liberté et s'admirent de près, grâce à ce sentier aménagé.",https://data.datatourisme.gouv.fr/13/e1bbde6f-a6c1-3e7f-a1d3-1696fca4fbcb
Sentier sous-marin pédagogique adapté de la plage de La Vignette,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#UnderwaterRoute|http://purl.org/ontology/olo/core#OrderedList,43.035708,6.136674,Boulevard Edouard Herriot Plage de La Vignette (Hôpital Renée Sabran),83400#Hyères,,True,True,Office de Tourisme Provence Méditerranée,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-19,#+33 6 12 51 38 26<>+33 6 50 36 07 15#ortega.thierry83@gmail.com#http://www.unfauteuilalamer.com/#&panel1-8,,"Un sentier sous-marin pédagogique adapté a vu le jour le 3 juin 2018 à l'initiative de l'association ""Un fauteuil à la mer"", sur la plage de La Vignette dans l'enceinte de l'hôpital Renée-Sabran.",https://data.datatourisme.gouv.fr/13/148e7ad7-ef34-3d59-9e4b-f73e96aaca58
Circuit confort : Rosans par le Chemin des Roses,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.392557000000004,5.471101999999999,Place de l'Abbé Bicais,05150#Rosans,,True,True,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-01-28,#+33 4 92 66 66 66#rosans@sisteron-buech.fr#http://www.sisteron-buech.fr/,,"Au fil des roses, empruntez l'itinéraire ""bleu"" au départ du Château de Rosans, accessible à tous (poussettes, fauteuils,...) pour découvrir le village médiéval à votre rythme.",https://data.datatourisme.gouv.fr/13/204fca91-f07f-36b2-9d7a-09b107798120
Randonnée - Sentier 14B « Les Hameaux »,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.335,6.5456,7 place Clémenceau,83120#Le Plan-de-la-Tour,,True,True,Communauté de communes du golfe de Saint Tropez,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-08,#+33 4 94 43 28 27#contact@visitleplandelatour.com#,,"Sentier 21B ""Les Hameaux""",https://data.datatourisme.gouv.fr/13/4c50529b-6a42-3261-9831-d0b8ff083935
Le sentier des mines de Vallaury,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.339115,6.547526,7 place Clémenceau,83120#Le Plan-de-la-Tour,,True,True,Communauté de communes du golfe de Saint Tropez,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-08,#+33 4 94 43 28 27<>+33 4 94 55 07 55#contact@visitleplandelatour.com#http://www.leplandelatour.fr/,,"Cet itinéraire situé sur la commune du Plan de la Tour, village provençal, vous fera renouer avec le passé minier et découvrir au loin un panorama sur le golfe de Sainte Maxime à Saint-Tropez.",https://data.datatourisme.gouv.fr/13/88d31806-368b-3263-b407-04502c811a80
Borne de recharge pour vélo électrique,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,44.827,6.4981,Les Alberts,05290#Puy-Saint-Vincent,,True,False,Office de Tourisme Intercommunal du Pays des Ecrins,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-03-23,#+33 4 92 23 30 66#mairie-puystvincent@wanadoo.fr#http://www.mairie-puy-saint-vincent.fr/,,"Borne de recharge pour vélos électriques. 
Attention : Munissez-vous de votre câble domestique !",https://data.datatourisme.gouv.fr/13/159fc7d4-5b51-3697-9d4f-8309c52c0584
Les cadrans solaires du Buëch,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.53515,5.826391,Sources du Buëch,05400#Veynes,,True,False,Office de Tourisme des Sources du Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-03-19,#+33 4 92 57 27 43<>+33 4 92 58 68 88##,,"Les cadrans constituent une spécialité d'art populaire du département des Hautes-Alpes qui en compte plus de 400 exemplaires dont 25 dans le Buëch. Comme chaque cadran indique l'heure solaire locale, chaque exemplaire est une création.",https://data.datatourisme.gouv.fr/13/f55b6034-e8e6-34ad-831f-ffe91da06b65
Sentier botanique du Belleric,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.314059,5.693489,Le Village,05700#Orpierre,,True,True,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-08-19,#+33 4 92 66 30 45#orpierre@sisteron-buech.fr#http://www.sisteron-buech.fr/,,"Petite balade dans le vallon du Belleric, au pied des falaises d'escalade, à la découverte des essences emblématiques des Baronnies.",https://data.datatourisme.gouv.fr/13/cd49635b-da0a-3403-b79c-72d93713cdd8
Parcours Patrimoine,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.919685,5.052128,Centre Ville,84800#L'Isle-sur-la-Sorgue,,True,False,Office de Tourisme Pays des Sorgues et Monts de Vaucluse,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-04-17,#+33 4 90 38 04 78#accueil@islesurlasorguetourisme.com#,,"Baladez-vous et rentrez en contact avec l’histoire grâce aux panneaux d’interprétations du patrimoine local.
Le Parcours Patrimoine comporte une dizaine de plaques explicatives sur des lieux emblématiques de la ville",https://data.datatourisme.gouv.fr/13/05cad594-d742-36f1-9aba-7d465592b6cd
Circuit Ste Christine,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.217257000000004,6.0442160000000005,Parking Chapelle de Ste Christine,83210#Solliès-Pont,,True,True,Office de Tourisme Intercommunal de la Vallée du Gapeau,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-03-03,#+33 4 94 28 92 35#valleegapeau-tourisme@ccvg.fr#http://www.valleegapeau-tourisme.fr/,,"Petite balade sur les hauteurs de Solliès-Pont à la découverte de la faune et la flore locale. Circulation réglementée dans les massifs  de mi-juin à fin septembre.
Consultez le site de la Préfecture du Var.",https://data.datatourisme.gouv.fr/13/0ab8f048-d6ec-329e-a29a-b05c76e2b7a8
Sentier Randonner Autrement - De vigne en vigne,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.520024,5.940943,Parking de la chapelle Notre Dame - D560 - route de Saint Maximin,83119#Brue-Auriac,,True,True,Provence Verte & Verdon Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-26,#+33 4 94 59 82 95#saintmaximin@provenceverteverdon.fr#http://www.provenceverdon.fr/economie-tourisme-culture/sentiers-de-randonnee-pedagogiques/sentier-de-brue-auriac/,,"De la chapelle Notre Dame au hameau Saint Estève, la vigne se dévoile dans tous ses états, de son histoire à ses saisons, en passant par sa transformation. 2 fils rouges rythment le parcours : les saisons de la vigne et l'histoire du Dieu grec  Dionysos.",https://data.datatourisme.gouv.fr/13/4da575ad-adda-3d73-82a2-fb199f0e4a15
Chemins des contes et légendes,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.668065999999996,6.777933999999999,Place Philippe Lamour,05600#Ceillac,,True,True,Office de tourisme du Guillestrois et du Queyras,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-09-23,#+33 6 30 73 31 78#animations.ceillac05@orange.fr#,,"C'est un chemin jalonné  de sculptures étonnantes, en bois, crées par Gérard Ducruet sculpteur.  Accessible à toute la famille, parking au départ du pont.",https://data.datatourisme.gouv.fr/13/b8109e93-3f51-346b-971b-3d996aab1d0c
Chemin des cairns insolites,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.668065999999996,6.777933999999999,Place Philippe Lamour,05600#Ceillac,,True,True,Office de tourisme du Guillestrois et du Queyras,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-09-23,#+33 6 30 73 31 78#animations.ceillac05@orange.fr#,,"C'est un chemin jalonné d'une cinquantaine de sculptures étonnantes, en pierres, imaginées et crées par Monique Eymard, habitante de Ceillac.",https://data.datatourisme.gouv.fr/13/33b87873-105d-3ae8-b51a-9b95492212d0
Sentier éco-découverte de la Gypière,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.668065999999996,6.777933999999999,Place Philippe Lamour,05600#Ceillac,,True,True,Office de tourisme du Guillestrois et du Queyras,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-09-23,#+33 6 30 73 31 78#animations.ceillac05@orange.fr#,,Ce sentier en balcon sur la vallée est équipé de panneaux qui expliquent les paysages actuels au travers des évolutions d'occupation qui l'on modelé. On comprend mieux la vie locale passée et présente.,https://data.datatourisme.gouv.fr/13/6b802b9d-ea1a-3c75-a0fe-6c6ecda5eadd
Haute Parole,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,44.376336,6.070764,Maison du Tourisme,04250#Le Caire,,True,True,Office de tourisme Les Hautes Terres de Provence®,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-01-07,#+33 4 92 68 40 39#contact@hautesterresprovence.com#http://www.balades-insolites.com/,,"Au pays des rochers qui parlent... Vous avez quelques heures de liberté devant vous ? Evadez-vous au Pays des Rochers qui parlent, vos oreilles s'empliront de contes tandis que vos yeux s’émerveilleront du paysage.",https://data.datatourisme.gouv.fr/13/d1912e43-078d-33dc-a429-66c5b8659082
